Plant_Name,Temperature_Range(°C),Humidity_Range(%),NPK_Required(mg/kg),Fertilizer_Used,Fertilizer_Bags_per_ha,Fertilizer_Bags_per_sqm,Fertilizer_Bags_per_acre
Carrot,14-22,50-72,125-62-82,NPK 20-20-20,20.03,0.1973,8.61
Carrot,16-24,53-77,95-45-65,Superphosphate,25.31,0.101,2.68
Broccoli,20-Dec,40-60,130-65-85,NPK 20-20-20,29.76,0.2803,2.74
Cucumber,18-25,58-78,135-68-88,MOP,8.81,0.2662,5.58
Zucchini,20-28,45-65,130-65-85,NPK 20-20-20,8.65,0.0935,5.68
Tomato,14-22,45-65,90-40-60,DAP,5,0.0553,8.63
Carrot,20-Dec,53-77,140-70-90,Urea,29.95,0.0994,4.18
Broccoli,16-24,45-65,135-68-88,Ammonium Sulphate,16.61,0.0565,8.12
Lettuce,14-22,45-65,90-40-60,DAP,9.98,0.2326,10.99
Spinach,22-30,55-75,100-50-70,DAP,9.71,0.136,3.45
Bell Pepper,21-29,50-70,140-70-90,Superphosphate,14.21,0.2042,7.78
Zucchini,16-24,40-60,140-70-90,Compost,6.22,0.2475,11.67
Cucumber,18-Oct,53-77,120-60-80,Vermicompost,21.54,0.2597,6.14
Tomato,15-22,53-77,90-40-60,Compost,28.8,0.2621,2.57
Zucchini,19-26,62-82,135-68-88,Superphosphate,15.4,0.1345,11.89
Strawberry,20-28,60-80,140-70-90,Urea,16.96,0.1399,8.92
Carrot,21-29,50-70,125-62-82,NPK 20-20-20,17.53,0.1969,2.34
Eggplant,20-Dec,55-75,105-52-72,Compost,9.31,0.198,11.51
Cucumber,20-28,50-70,110-55-75,Superphosphate,28.98,0.2052,8.83
Eggplant,21-29,50-72,135-68-88,Ammonium Sulphate,10.44,0.1575,8.25
Tomato,20-Dec,40-60,120-60-80,Urea,24.85,0.24,6.6
Tomato,20-28,60-80,120-60-80,NPK 20-20-20,19.99,0.192,10.08
Bell Pepper,22-30,50-72,105-52-72,MOP,11.2,0.2219,8.39
Strawberry,18-25,60-80,90-40-60,NPK 20-20-20,12.98,0.1232,3.43
Spinach,15-22,55-75,100-50-70,Superphosphate,9.27,0.0637,12
Eggplant,18-25,60-80,135-68-88,Urea,21.62,0.2106,7.33
Eggplant,22-30,58-78,105-52-72,Compost,24.02,0.0693,2.6
Bell Pepper,19-26,60-80,105-52-72,Urea,26.45,0.2515,9.9
Cucumber,21-29,45-65,125-62-82,Vermicompost,12.2,0.1112,6.2
Strawberry,18-Oct,65-85,90-40-60,Superphosphate,9.53,0.1809,6.28
Broccoli,16-24,53-77,105-52-72,Ammonium Sulphate,28.81,0.2478,7.92
Lettuce,20-Dec,60-80,135-68-88,Compost,22.53,0.0729,8.66
Broccoli,14-22,50-70,135-68-88,Urea,9.86,0.1506,5.35
Carrot,15-22,62-82,140-70-90,Compost,26.47,0.248,6.88
Carrot,14-22,50-72,90-40-60,Urea,14.53,0.0863,2.74
Tomato,19-26,50-72,110-55-75,MOP,16.48,0.1355,6.84
Bell Pepper,14-22,40-60,140-70-90,Superphosphate,7.73,0.1774,10.19
Lettuce,22-30,62-82,120-60-80,Compost,24.27,0.2043,6.07
Broccoli,15-22,62-82,125-62-82,NPK 20-20-20,25.99,0.2175,9.09
Tomato,22-30,60-80,90-40-60,Ammonium Sulphate,16.9,0.1756,5.47
Carrot,20-28,50-70,135-68-88,Superphosphate,13.41,0.1558,9.57
Strawberry,20-28,58-78,105-52-72,NPK 20-20-20,7.58,0.0808,2.14
Spinach,18-Oct,60-80,95-45-65,Vermicompost,6.14,0.1957,6.37
Carrot,20-28,58-78,140-70-90,NPK 20-20-20,14.74,0.1392,5.26
Broccoli,18-25,50-70,90-40-60,Ammonium Sulphate,29.33,0.145,11.67
Zucchini,18-25,60-80,105-52-72,Superphosphate,16.82,0.1828,2.92
Lettuce,20-Dec,50-70,105-52-72,MOP,9.44,0.1046,5.61
Bell Pepper,15-22,45-65,120-60-80,Superphosphate,28.68,0.2788,6.09
Lettuce,22-30,53-77,90-40-60,Compost,17.48,0.1841,4.05
Cucumber,20-28,55-75,135-68-88,Urea,12.72,0.1771,6.94
Strawberry,21-29,53-77,110-55-75,MOP,6.4,0.0709,6.58
Carrot,16-24,60-80,100-50-70,Vermicompost,20.51,0.0958,9.85
Zucchini,20-28,50-72,90-40-60,MOP,26.55,0.073,3.17
Broccoli,20-28,40-60,105-52-72,NPK 20-20-20,10.86,0.1894,7.84
Eggplant,15-22,45-65,135-68-88,Urea,9.15,0.2021,2.59
Broccoli,19-26,60-80,100-50-70,Vermicompost,26.77,0.0872,8.06
Spinach,20-28,62-82,95-45-65,Vermicompost,13.68,0.1959,11.47
Spinach,14-22,65-85,120-60-80,Compost,10.56,0.1438,5.02
Strawberry,19-26,60-80,135-68-88,Ammonium Sulphate,18.22,0.1387,3.56
Spinach,20-Dec,50-72,130-65-85,Urea,20.14,0.0939,2.54
Tomato,19-26,45-65,100-50-70,Ammonium Sulphate,27.21,0.1565,3.19
Strawberry,14-22,50-70,100-50-70,Compost,22.95,0.0983,3.53
Strawberry,18-Oct,50-70,110-55-75,MOP,15.8,0.1509,4.71
Tomato,14-22,45-65,105-52-72,Compost,18.26,0.1325,11.22
Broccoli,22-30,45-65,110-55-75,Ammonium Sulphate,5.7,0.2694,6
Bell Pepper,14-22,40-60,125-62-82,Urea,12.44,0.2726,8.18
Spinach,15-22,45-65,105-52-72,Vermicompost,29.66,0.2109,9.51
Bell Pepper,18-25,53-77,90-40-60,DAP,21.23,0.1308,10.75
Tomato,21-29,62-82,95-45-65,Vermicompost,22.05,0.1647,3.41
Zucchini,19-26,53-77,100-50-70,Superphosphate,9.47,0.2154,5.28
Lettuce,20-Dec,53-77,100-50-70,Superphosphate,20.18,0.1799,2.86
Cucumber,21-29,50-70,100-50-70,Compost,26.26,0.1148,6.83
Spinach,20-28,62-82,100-50-70,Superphosphate,9.96,0.1077,8
Cucumber,18-25,58-78,95-45-65,NPK 20-20-20,10.6,0.063,8.93
Bell Pepper,18-25,62-82,105-52-72,Urea,19.68,0.091,9.91
Eggplant,19-26,40-60,90-40-60,Urea,19.06,0.2573,6.66
Bell Pepper,19-26,60-80,95-45-65,Compost,11.39,0.1724,11.08
Cucumber,18-Oct,62-82,95-45-65,Superphosphate,25.79,0.121,4.86
Broccoli,19-26,58-78,140-70-90,Superphosphate,13.12,0.2405,5.32
Zucchini,14-22,53-77,110-55-75,NPK 20-20-20,9.81,0.2521,9.76
Lettuce,18-25,53-77,100-50-70,DAP,6.23,0.0772,10.91
Broccoli,19-26,62-82,120-60-80,Ammonium Sulphate,26.25,0.1601,2.16
Bell Pepper,21-29,62-82,100-50-70,Ammonium Sulphate,17.9,0.1753,4.27
Tomato,15-22,50-70,110-55-75,Compost,22.4,0.1919,2.82
Lettuce,18-25,62-82,90-40-60,Ammonium Sulphate,12.28,0.2919,10.16
Eggplant,21-29,45-65,135-68-88,Compost,10.84,0.1189,3.71
Bell Pepper,22-30,60-80,135-68-88,Superphosphate,22.06,0.1585,9.69
Strawberry,20-Dec,55-75,105-52-72,Superphosphate,23.65,0.1203,11.16
Broccoli,21-29,45-65,90-40-60,Ammonium Sulphate,10.5,0.2249,4.37
Bell Pepper,21-29,60-80,110-55-75,MOP,12.04,0.1742,3.98
Bell Pepper,15-22,50-70,130-65-85,Ammonium Sulphate,20.18,0.2617,5.81
Spinach,20-28,50-70,100-50-70,Superphosphate,26.87,0.1146,3.03
Carrot,20-Dec,53-77,90-40-60,Vermicompost,6.52,0.2121,9.56
Carrot,15-22,45-65,95-45-65,DAP,14.99,0.2479,5.34
Zucchini,16-24,60-80,125-62-82,MOP,27.11,0.1043,8.15
Eggplant,16-24,40-60,105-52-72,Superphosphate,13.54,0.1499,8.88
Broccoli,19-26,53-77,125-62-82,DAP,25.02,0.0821,6.06
Strawberry,18-25,55-75,125-62-82,NPK 20-20-20,6.08,0.1982,8.34
Spinach,22-30,60-80,95-45-65,Vermicompost,12.56,0.1212,9.42
Broccoli,19-26,55-75,135-68-88,NPK 20-20-20,21.64,0.2429,11.92
Broccoli,18-Oct,58-78,95-45-65,DAP,16.12,0.2626,2.18
Cucumber,18-25,65-85,105-52-72,Urea,20.12,0.1337,6.34
Spinach,15-22,65-85,100-50-70,DAP,15.63,0.2647,10.85
Bell Pepper,18-Oct,40-60,130-65-85,NPK 20-20-20,9.19,0.076,11.77
Zucchini,19-26,62-82,135-68-88,DAP,12.9,0.1212,8.1
Lettuce,18-25,65-85,90-40-60,DAP,13.86,0.07,6.35
Lettuce,14-22,60-80,120-60-80,NPK 20-20-20,12.1,0.1564,6.55
Zucchini,18-25,55-75,105-52-72,Vermicompost,23.57,0.0736,6.9
Spinach,20-28,50-70,105-52-72,MOP,9.35,0.1309,5.73
Lettuce,22-30,62-82,105-52-72,Superphosphate,29.78,0.2484,3.49
Eggplant,20-Dec,60-80,125-62-82,NPK 20-20-20,13.51,0.1971,10.88
Tomato,14-22,45-65,135-68-88,Ammonium Sulphate,16.32,0.1901,9.89
Cucumber,18-25,40-60,90-40-60,Compost,5.49,0.1099,5.71
Lettuce,22-30,62-82,140-70-90,Vermicompost,15.01,0.2282,3.73
Eggplant,21-29,53-77,100-50-70,MOP,7.28,0.1327,10.89
Zucchini,16-24,58-78,135-68-88,Urea,7.54,0.2452,3.1
Broccoli,18-25,45-65,95-45-65,Vermicompost,18.69,0.2645,4.11
Spinach,18-25,55-75,95-45-65,NPK 20-20-20,28.92,0.1973,5.12
Carrot,15-22,45-65,125-62-82,MOP,11.46,0.1227,2.58
Tomato,16-24,55-75,125-62-82,Urea,8.26,0.2251,10.43
Spinach,16-24,40-60,95-45-65,Vermicompost,8.39,0.0819,3.57
Strawberry,21-29,50-70,140-70-90,Urea,10.89,0.1721,6.25
Carrot,18-Oct,50-70,125-62-82,Compost,13.27,0.1797,3.97
Cucumber,21-29,65-85,105-52-72,Superphosphate,15,0.2947,8.32
Strawberry,14-22,45-65,125-62-82,Superphosphate,17.5,0.2451,10.91
Lettuce,22-30,50-72,95-45-65,Ammonium Sulphate,19.08,0.0584,4.75
Eggplant,21-29,50-72,140-70-90,MOP,18.37,0.2397,9.9
Lettuce,15-22,50-72,135-68-88,Urea,28.53,0.1735,9.11
Eggplant,20-Dec,58-78,95-45-65,DAP,28.3,0.1704,5.84
Eggplant,20-28,58-78,95-45-65,Urea,28.69,0.1067,5.34
Eggplant,18-25,50-70,130-65-85,Compost,10.55,0.055,3.09
Tomato,21-29,50-70,125-62-82,DAP,19.05,0.2149,3.34
Cucumber,20-Dec,55-75,130-65-85,Ammonium Sulphate,14.58,0.07,10.22
Carrot,18-Oct,62-82,110-55-75,Superphosphate,27.5,0.2906,10.43
Broccoli,14-22,53-77,95-45-65,Vermicompost,24.84,0.215,3.68
Spinach,20-28,62-82,90-40-60,Superphosphate,13.04,0.1584,9.53
Zucchini,15-22,55-75,130-65-85,DAP,9.51,0.2954,7.24
Bell Pepper,22-30,58-78,135-68-88,Superphosphate,21.49,0.2104,6.17
Strawberry,21-29,55-75,140-70-90,Urea,5.96,0.09,3.67
Cucumber,21-29,55-75,120-60-80,Urea,15.27,0.2652,8.89
Lettuce,18-Oct,50-70,135-68-88,Urea,15.16,0.1539,5.97
Bell Pepper,14-22,53-77,90-40-60,Compost,29.21,0.1246,7.38
Strawberry,18-25,55-75,125-62-82,NPK 20-20-20,12.89,0.0962,5.48
Tomato,16-24,55-75,110-55-75,Compost,17.58,0.2867,3.35
Carrot,18-Oct,62-82,125-62-82,NPK 20-20-20,23.77,0.063,4.42
Bell Pepper,15-22,40-60,135-68-88,NPK 20-20-20,15.05,0.2711,2.33
Eggplant,16-24,58-78,105-52-72,Compost,15.7,0.2601,11.11
Broccoli,21-29,40-60,130-65-85,MOP,29.99,0.0787,7.98
Cucumber,19-26,60-80,95-45-65,DAP,20.2,0.2166,2.08
Tomato,22-30,40-60,140-70-90,Superphosphate,14.85,0.0988,4.92
Carrot,19-26,62-82,110-55-75,Vermicompost,7.57,0.214,6.08
Cucumber,20-28,58-78,125-62-82,DAP,11.85,0.1933,4.27
Broccoli,14-22,50-70,110-55-75,MOP,12.84,0.2657,5.37
Spinach,20-Dec,65-85,110-55-75,MOP,27.55,0.1873,2.3
Cucumber,18-25,60-80,135-68-88,Urea,12.83,0.2226,5.25
Spinach,15-22,60-80,95-45-65,NPK 20-20-20,18.2,0.0656,11.37
Tomato,21-29,55-75,135-68-88,Urea,18.63,0.2722,5.43
Cucumber,19-26,40-60,130-65-85,Ammonium Sulphate,21.61,0.0614,2.44
Tomato,20-Dec,50-72,105-52-72,Compost,6.48,0.2214,11.65
Tomato,20-28,50-72,130-65-85,DAP,15.97,0.1392,10.38
Eggplant,16-24,55-75,105-52-72,Compost,8.87,0.1681,6.56
Tomato,20-Dec,50-70,120-60-80,Ammonium Sulphate,19.57,0.192,2.63
Bell Pepper,15-22,53-77,120-60-80,NPK 20-20-20,25.74,0.1269,5.92
Broccoli,14-22,55-75,120-60-80,MOP,13.3,0.1669,3.15
Spinach,16-24,58-78,95-45-65,DAP,12.04,0.0591,10.09
Cucumber,21-29,60-80,110-55-75,Superphosphate,25.76,0.0768,7.63
Cucumber,22-30,50-70,140-70-90,Ammonium Sulphate,21.81,0.2532,6.3
Cucumber,20-Dec,65-85,110-55-75,Compost,15.39,0.1659,10.78
Lettuce,14-22,55-75,110-55-75,DAP,28.63,0.2925,3.31
Eggplant,20-Dec,62-82,90-40-60,Superphosphate,22.88,0.0873,10.68
Zucchini,19-26,55-75,135-68-88,MOP,26.32,0.1724,5.88
Eggplant,15-22,50-72,100-50-70,Compost,17.21,0.2209,6.22
Spinach,21-29,60-80,105-52-72,MOP,12.67,0.263,3.83
Cucumber,21-29,58-78,105-52-72,Superphosphate,7.81,0.1949,11.7
Bell Pepper,18-25,65-85,130-65-85,Compost,7.72,0.1855,4.06
Strawberry,22-30,60-80,130-65-85,Superphosphate,17.85,0.2971,11.22
Eggplant,22-30,60-80,125-62-82,DAP,16.76,0.1517,4.01
Bell Pepper,22-30,62-82,105-52-72,Compost,29.36,0.0785,4.83
Bell Pepper,22-30,55-75,125-62-82,DAP,14.98,0.1265,9.88
Carrot,14-22,60-80,110-55-75,Ammonium Sulphate,29.17,0.058,3.22
Strawberry,19-26,50-70,105-52-72,Superphosphate,10.73,0.1378,9.31
Bell Pepper,14-22,62-82,135-68-88,MOP,17.54,0.2379,3.1
Tomato,18-Oct,58-78,90-40-60,Urea,12.83,0.1768,7.96
Bell Pepper,22-30,40-60,125-62-82,Vermicompost,26.28,0.2526,4.44
Zucchini,22-30,50-70,110-55-75,NPK 20-20-20,21.89,0.2761,8.29
Strawberry,21-29,58-78,135-68-88,Superphosphate,7.84,0.0603,2.05
Carrot,18-Oct,50-70,100-50-70,Compost,8.4,0.29,11.63
Spinach,21-29,55-75,110-55-75,NPK 20-20-20,16.96,0.2204,5.14
Cucumber,20-28,53-77,100-50-70,Compost,6.84,0.2427,3.25
Cucumber,20-Dec,60-80,130-65-85,Urea,27.7,0.247,5.46
Cucumber,21-29,50-70,120-60-80,Superphosphate,23.6,0.0623,9.61
Eggplant,20-Dec,40-60,140-70-90,MOP,5.74,0.1943,9.97
Carrot,15-22,65-85,140-70-90,Compost,27.7,0.2662,4.78
Tomato,15-22,60-80,120-60-80,Vermicompost,22.7,0.2276,11.97
Cucumber,16-24,55-75,130-65-85,Urea,21.02,0.1003,7.85
Carrot,16-24,40-60,110-55-75,Compost,22.69,0.159,11.73
Carrot,16-24,55-75,95-45-65,Superphosphate,17.11,0.1179,3.85
Carrot,15-22,58-78,120-60-80,DAP,6.57,0.0907,5.26
Strawberry,18-Oct,53-77,105-52-72,Vermicompost,7.04,0.0532,6.22
Bell Pepper,21-29,58-78,140-70-90,NPK 20-20-20,21,0.2116,7.8
Strawberry,14-22,40-60,90-40-60,Compost,14.27,0.0682,6.25
Strawberry,20-28,65-85,140-70-90,NPK 20-20-20,6.36,0.2054,8.12
Strawberry,18-Oct,62-82,95-45-65,NPK 20-20-20,16.76,0.1576,2.97
Spinach,18-25,50-70,105-52-72,DAP,27.93,0.0714,8.7
Strawberry,16-24,65-85,120-60-80,Compost,29.27,0.0898,3.82
Broccoli,18-Oct,50-70,110-55-75,Ammonium Sulphate,18.88,0.1657,8.64
Bell Pepper,16-24,40-60,110-55-75,MOP,8.67,0.1356,11.67
Tomato,18-25,60-80,120-60-80,DAP,21.86,0.0867,11.01
Broccoli,19-26,45-65,140-70-90,Urea,20.11,0.096,3.74
Lettuce,20-Dec,60-80,140-70-90,DAP,5.87,0.2761,3.05
Zucchini,18-Oct,55-75,130-65-85,DAP,12.22,0.2983,11.57
Cucumber,21-29,62-82,105-52-72,Compost,29.75,0.0783,4.47
Lettuce,16-24,40-60,130-65-85,Vermicompost,17.7,0.2538,6.92
Broccoli,16-24,50-72,90-40-60,NPK 20-20-20,20.79,0.2701,9.78
Cucumber,18-25,53-77,95-45-65,Compost,20.05,0.292,10.95
Zucchini,19-26,62-82,100-50-70,Compost,27.04,0.077,3.81
Tomato,16-24,53-77,105-52-72,MOP,10.23,0.1773,6.76
Eggplant,19-26,50-70,110-55-75,DAP,16.3,0.2508,3.12
Tomato,19-26,53-77,110-55-75,MOP,24.97,0.0865,10.37
Lettuce,20-28,55-75,125-62-82,MOP,26,0.2293,5.37
Strawberry,18-Oct,60-80,90-40-60,MOP,24.8,0.273,2.09
Eggplant,16-24,60-80,100-50-70,Urea,21.09,0.11,4.81
Zucchini,20-Dec,45-65,130-65-85,Ammonium Sulphate,21.14,0.2861,3.82
Bell Pepper,22-30,40-60,105-52-72,Ammonium Sulphate,17.62,0.1001,7.04
Spinach,15-22,45-65,135-68-88,Superphosphate,21.33,0.1926,5.05
Spinach,14-22,60-80,90-40-60,NPK 20-20-20,6.65,0.1133,11.36
Spinach,16-24,53-77,100-50-70,MOP,15.67,0.0898,4
Cucumber,21-29,58-78,120-60-80,Superphosphate,29.44,0.1151,2.05
Tomato,18-25,50-70,120-60-80,Ammonium Sulphate,5.28,0.2469,10.45
Bell Pepper,22-30,50-72,110-55-75,NPK 20-20-20,8.72,0.1753,4.71
Spinach,18-25,53-77,130-65-85,DAP,30,0.2671,8.43
Strawberry,20-Dec,40-60,105-52-72,Superphosphate,6.07,0.1339,10.88
Tomato,21-29,55-75,90-40-60,Compost,21.85,0.0676,10
Strawberry,20-28,65-85,100-50-70,NPK 20-20-20,23.26,0.2058,9.07
Broccoli,18-25,58-78,135-68-88,Ammonium Sulphate,6.56,0.1978,7.1
Lettuce,16-24,58-78,125-62-82,DAP,12.78,0.0775,9.95
Cucumber,22-30,45-65,130-65-85,DAP,14.37,0.2421,10.89
Cucumber,20-Dec,40-60,125-62-82,Compost,12.21,0.2828,9.33
Bell Pepper,22-30,40-60,105-52-72,Compost,28.68,0.2006,9.2
Broccoli,19-26,50-70,110-55-75,DAP,29.47,0.2501,8.99
Spinach,20-28,60-80,90-40-60,NPK 20-20-20,24.87,0.2798,6.42
Carrot,22-30,40-60,125-62-82,Compost,18.57,0.0919,10.05
Strawberry,20-28,65-85,110-55-75,MOP,16.69,0.1674,4.4
Bell Pepper,18-25,60-80,100-50-70,Superphosphate,7.08,0.2446,6.45
Cucumber,18-25,62-82,110-55-75,Ammonium Sulphate,23.51,0.2927,4.84
Broccoli,19-26,50-72,140-70-90,NPK 20-20-20,15.09,0.129,9.73
Carrot,14-22,55-75,95-45-65,Urea,20.26,0.1211,5.15
Lettuce,20-28,55-75,130-65-85,DAP,13.93,0.1717,2.06
Broccoli,15-22,65-85,125-62-82,Vermicompost,5.74,0.2546,5.06
Lettuce,21-29,50-72,125-62-82,Ammonium Sulphate,12.8,0.103,11.2
Spinach,21-29,58-78,120-60-80,Vermicompost,10.03,0.2397,9.61
Tomato,15-22,58-78,100-50-70,Compost,17.86,0.1036,5.77
Eggplant,20-28,65-85,130-65-85,Compost,27.73,0.1738,4.5
Carrot,18-25,58-78,120-60-80,Urea,15.38,0.24,6.9
Tomato,14-22,45-65,135-68-88,Urea,20.45,0.0627,2.74
Bell Pepper,21-29,40-60,90-40-60,NPK 20-20-20,16.31,0.2707,7.08
Broccoli,20-Dec,40-60,140-70-90,Ammonium Sulphate,27.59,0.2189,3.14
Strawberry,15-22,45-65,110-55-75,Compost,18.49,0.0968,9.83
Lettuce,20-Dec,50-72,105-52-72,MOP,20.83,0.1962,7.97
Lettuce,18-Oct,65-85,110-55-75,MOP,5.53,0.102,2.64
Lettuce,16-24,40-60,100-50-70,Urea,10.45,0.2207,11.37
Broccoli,16-24,45-65,90-40-60,Superphosphate,23.89,0.1609,4.02
Eggplant,21-29,40-60,105-52-72,DAP,13.21,0.1841,11.81
Bell Pepper,14-22,45-65,90-40-60,Ammonium Sulphate,23.76,0.2037,8.21
Spinach,21-29,65-85,135-68-88,Vermicompost,16.3,0.2518,4.44
Bell Pepper,16-24,53-77,140-70-90,DAP,23.57,0.2939,6.15
Broccoli,18-25,65-85,105-52-72,Urea,15.19,0.2793,9.66
Broccoli,21-29,58-78,135-68-88,DAP,5.12,0.2574,10.81
Cucumber,18-Oct,55-75,105-52-72,Compost,27.7,0.086,11.15
Broccoli,14-22,65-85,125-62-82,Urea,21.92,0.173,3.88
Eggplant,20-28,50-72,100-50-70,Ammonium Sulphate,25.74,0.2293,2.87
Lettuce,19-26,45-65,105-52-72,Vermicompost,8.11,0.0567,4.83
Carrot,16-24,65-85,110-55-75,Superphosphate,24.21,0.2312,2.66
Lettuce,20-Dec,45-65,140-70-90,DAP,14.55,0.2423,7.4
Broccoli,21-29,58-78,140-70-90,Vermicompost,29.9,0.2143,3.04
Carrot,15-22,45-65,90-40-60,Vermicompost,8.39,0.0817,7.11
Spinach,22-30,60-80,125-62-82,Compost,28.99,0.0801,2.95
Zucchini,20-Dec,65-85,105-52-72,NPK 20-20-20,29.94,0.1196,8
Carrot,16-24,50-72,90-40-60,Superphosphate,22.33,0.2251,2.24
Lettuce,22-30,65-85,110-55-75,Compost,13.36,0.1437,2.24
Strawberry,15-22,53-77,90-40-60,Compost,24.19,0.066,2.89
Bell Pepper,19-26,50-70,110-55-75,Compost,25.22,0.2343,5.52
Spinach,15-22,50-70,135-68-88,Vermicompost,6.17,0.238,11.19
Strawberry,15-22,50-70,90-40-60,Superphosphate,16.82,0.0949,5.19
Eggplant,22-30,40-60,130-65-85,Vermicompost,11.62,0.1396,3.89
Bell Pepper,22-30,50-70,135-68-88,Vermicompost,16.42,0.1455,11.89
Strawberry,15-22,40-60,125-62-82,NPK 20-20-20,16.1,0.2508,3.62
Bell Pepper,20-28,53-77,130-65-85,Vermicompost,18.06,0.2778,8.87
Broccoli,16-24,50-72,110-55-75,Urea,23.5,0.1494,11.86
Strawberry,16-24,62-82,120-60-80,Compost,6.68,0.086,11.21
Eggplant,21-29,55-75,90-40-60,Vermicompost,17.63,0.2603,11.38
Strawberry,20-28,65-85,140-70-90,Ammonium Sulphate,11.05,0.0843,10.65
Bell Pepper,19-26,45-65,130-65-85,Superphosphate,10.19,0.2641,9.85
Bell Pepper,14-22,60-80,105-52-72,NPK 20-20-20,21.18,0.1262,9.37
Zucchini,20-28,50-72,120-60-80,DAP,22.43,0.0649,2.25
Tomato,14-22,58-78,130-65-85,Ammonium Sulphate,6,0.2743,6.2
Tomato,18-25,50-70,100-50-70,Urea,5.17,0.086,9.12
Broccoli,15-22,58-78,130-65-85,Superphosphate,7.88,0.0649,10.77
Broccoli,15-22,60-80,105-52-72,Superphosphate,28.63,0.284,2.02
Spinach,22-30,60-80,135-68-88,NPK 20-20-20,27.15,0.2164,9.73
Broccoli,20-Dec,60-80,120-60-80,Ammonium Sulphate,27.03,0.1551,9.91
Eggplant,20-28,40-60,140-70-90,Compost,25.71,0.1628,10.7
Broccoli,21-29,45-65,130-65-85,Superphosphate,29.77,0.0615,5
Bell Pepper,20-28,65-85,130-65-85,Superphosphate,5.75,0.1578,6.52
Bell Pepper,20-28,50-72,125-62-82,Compost,8.56,0.2546,11.87
Lettuce,20-28,50-70,130-65-85,Superphosphate,6,0.2216,6.71
Eggplant,22-30,53-77,130-65-85,Ammonium Sulphate,6.15,0.1919,8.37
Strawberry,16-24,58-78,120-60-80,MOP,28.67,0.0877,2.6
Carrot,15-22,58-78,105-52-72,DAP,5.21,0.0718,2.78
Zucchini,19-26,53-77,90-40-60,Vermicompost,19.09,0.2329,11.87
Eggplant,14-22,55-75,125-62-82,NPK 20-20-20,8.13,0.2181,3.23
Broccoli,15-22,45-65,100-50-70,DAP,5.06,0.1176,3.26
Carrot,18-Oct,40-60,140-70-90,NPK 20-20-20,10.76,0.2296,6.55
Lettuce,14-22,58-78,120-60-80,Ammonium Sulphate,27.26,0.2208,8.73
Tomato,22-30,58-78,100-50-70,Vermicompost,20.39,0.1943,2.06
Tomato,18-25,60-80,135-68-88,Compost,11.59,0.2564,7.29
Tomato,20-28,65-85,125-62-82,NPK 20-20-20,26.57,0.1694,8.52
Zucchini,14-22,55-75,100-50-70,Compost,28.64,0.0671,3.34
Spinach,20-Dec,50-70,130-65-85,Superphosphate,25.97,0.2301,9.76
Tomato,20-28,53-77,120-60-80,Compost,23.37,0.1195,10.84
Lettuce,22-30,50-70,125-62-82,MOP,21.22,0.2886,5.19
Zucchini,20-Dec,53-77,105-52-72,NPK 20-20-20,23.83,0.1901,3.76
Tomato,15-22,55-75,135-68-88,Urea,14.56,0.2833,7.29
Tomato,18-Oct,58-78,135-68-88,Vermicompost,26.25,0.1611,10.03
Eggplant,19-26,60-80,100-50-70,DAP,17.63,0.2586,8.08
Eggplant,19-26,62-82,125-62-82,Vermicompost,26.96,0.0561,6.11
Tomato,22-30,65-85,135-68-88,Compost,12.21,0.2297,11.4
Broccoli,15-22,55-75,140-70-90,Compost,19.7,0.0591,8.8
Bell Pepper,18-Oct,50-72,90-40-60,Ammonium Sulphate,6.73,0.1004,7.16
Lettuce,14-22,50-70,100-50-70,Vermicompost,23.9,0.1767,6.51
Broccoli,14-22,65-85,120-60-80,Compost,20.91,0.2516,2.19
Spinach,15-22,50-72,120-60-80,Urea,14.57,0.2772,10.06
Broccoli,19-26,62-82,110-55-75,NPK 20-20-20,6.22,0.2211,6.34
Bell Pepper,16-24,40-60,110-55-75,Ammonium Sulphate,13.81,0.0772,10.55
Tomato,14-22,58-78,90-40-60,Ammonium Sulphate,20.53,0.251,10.58
Broccoli,20-Dec,58-78,110-55-75,Ammonium Sulphate,13.71,0.2383,7.12
Carrot,22-30,53-77,95-45-65,NPK 20-20-20,22,0.207,11.67
Tomato,22-30,53-77,135-68-88,DAP,7.38,0.1701,10.92
Broccoli,15-22,50-72,135-68-88,Vermicompost,23.28,0.2363,3.39
Zucchini,20-Dec,40-60,125-62-82,MOP,17.15,0.2865,9.01
Broccoli,22-30,50-70,140-70-90,DAP,18.09,0.2438,6.03
Broccoli,18-25,50-72,140-70-90,Ammonium Sulphate,29.89,0.1473,4.21
Bell Pepper,18-Oct,62-82,90-40-60,DAP,20.8,0.1895,8.41
Broccoli,18-Oct,50-70,120-60-80,Superphosphate,17.82,0.288,2.06
Eggplant,18-Oct,55-75,100-50-70,Superphosphate,28.43,0.1515,9.91
Spinach,18-25,53-77,130-65-85,Vermicompost,22.69,0.2941,3.75
Eggplant,19-26,55-75,95-45-65,NPK 20-20-20,24.12,0.2473,11.02
Broccoli,18-25,62-82,130-65-85,Superphosphate,11.71,0.2534,5.87
Broccoli,20-28,53-77,100-50-70,Superphosphate,10.72,0.0928,11.77
Zucchini,18-Oct,62-82,110-55-75,MOP,12.03,0.1463,11.23
Tomato,20-Dec,45-65,120-60-80,NPK 20-20-20,11.89,0.0536,2.68
Eggplant,16-24,53-77,125-62-82,DAP,6.25,0.1742,4.26
